Date,Description,Amount,Type
2023-06-22,ATM Withdrawal,2887,debit
2022-08-09,Online Course,5995,debit
2022-04-20,Amazon Shopping,5094,debit
2023-11-29,Ola Cabs,3780,debit
2023-08-14,Fuel Station,330,debit
2022-02-19,Bonus,28948,credit
2023-03-11,Medical Consultation,6724,debit
2023-10-22,Fuel Station,5262,debit
2022-06-23,Cinema Ticket,610,debit
2024-03-30,Starbucks Coffee,7660,debit
2023-05-15,Starbucks Coffee,3351,debit
2022-12-26,Amusement Park,2612,debit
2023-03-23,Online Course,5778,debit
2023-08-11,Credit Card Bill,1128,debit
2023-01-02,IRCTC Train Booking,1388,debit
2023-01-02,Spotify Subscription,9213,debit
2024-01-13,Investment Return,45576,credit
2024-02-22,Freelance Payment,28555,credit
2023-05-25,Concert Ticket,5573,debit
2022-04-04,Cafe Coffee Day,3732,debit
2023-11-10,Medical Consultation,6672,debit
2024-03-04,Freelance Payment,40403,credit
2023-05-14,Bookstore,9435,debit
2022-04-06,ATM Withdrawal,2971,debit
2023-01-17,Uber Ride,9799,debit
2023-12-21,Coworking Space Rent,9613,debit
2023-07-09,Insurance Premium,7314,debit
2022-09-16,Hospital Bill,9252,debit
2022-09-30,Ola Cabs,5936,debit
2023-11-14,Spotify Subscription,1303,debit
2023-07-30,Home Cleaning Services,1484,debit
2024-01-12,Restaurant Bill,6131,debit
2023-10-16,Mutual Fund SIP,4269,debit
2023-01-10,Pet Grooming,2276,debit
2023-09-18,Cafe Coffee Day,5689,debit
2023-05-13,Electricity Bill,2293,debit
2024-03-07,Bookstore,9527,debit
2022-01-15,Gift Purchase,7075,debit
2023-01-20,Salary,59369,credit
2022-09-25,Mutual Fund SIP,5386,debit
2023-11-27,IRCTC Train Booking,6099,debit
2022-02-15,Concert Ticket,3952,debit
2022-09-12,Clothing Store,3279,debit
2022-08-16,Concert Ticket,8707,debit
2023-01-21,Salary,18200,credit
2023-04-11,Spotify Subscription,8512,debit
2023-10-06,ATM Withdrawal,6901,debit
2022-09-10,Rent Payment,1841,debit
2023-10-12,Home Cleaning Services,308,debit
2022-07-31,Home Cleaning Services,3948,debit
2023-07-31,Restaurant Bill,8130,debit
2022-07-03,Concert Ticket,8300,debit
2023-07-15,Coworking Space Rent,4355,debit
2022-08-15,Spotify Subscription,8712,debit
2023-06-21,Amusement Park,3975,debit
2022-11-11,Amusement Park,1810,debit
2023-12-31,Rent Payment,3902,debit
2022-04-03,Water Bill,4675,debit
2023-11-14,Amusement Park,3687,debit
2024-02-15,Exam Fee,2936,debit
2022-04-04,Rent Payment,593,debit
2024-02-21,Online Course,6280,debit
2023-08-30,Bonus,33434,credit
2023-05-22,Medical Consultation,3301,debit
2023-04-08,ATM Withdrawal,2535,debit
2023-09-23,Cinema Ticket,3172,debit
2022-03-09,Amusement Park,950,debit
2024-03-04,Insurance Premium,818,debit
2023-07-25,Amazon Prime,6881,debit
2022-05-19,Internet Bill,653,debit
2024-02-16,Cinema Ticket,4321,debit
2022-08-10,Insurance Premium,5990,debit
2022-03-21,Amusement Park,3259,debit
2024-02-03,Uber Ride,6207,debit
2022-12-06,IRCTC Train Booking,1633,debit
2022-03-22,ATM Withdrawal,7058,debit
2024-03-23,Medical Consultation,1460,debit
2023-04-19,Fuel Station,9029,debit
2022-09-28,Bonus,5909,credit
2024-01-12,Pet Grooming,2131,debit
2023-06-13,Mobile Accessories,5580,debit
2023-11-11,Coworking Space Rent,8466,debit
2024-03-15,Bookstore,8213,debit
2022-08-21,Cinema Ticket,8651,debit
2023-11-05,Cinema Ticket,5261,debit
2023-10-01,Credit Card Bill,4025,debit
2022-06-19,Bonus,26665,credit
2022-01-29,Internet Bill,9595,debit
2024-03-17,Domino's Pizza,9634,debit
2023-03-16,Amazon Shopping,4090,debit
2022-11-23,Coworking Space Rent,1512,debit
2022-05-13,Bookstore,3837,debit
2022-02-12,Amusement Park,3705,debit
2023-06-21,Credit Card Bill,5711,debit
2023-07-06,Loan EMI,2602,debit
2023-06-20,Clothing Store,4194,debit
2023-01-27,Doctor Visit,5224,debit
2024-02-03,Fuel Station,3734,debit
2023-12-22,Uber Ride,1516,debit
2023-07-13,Flipkart Sale,4157,debit
2023-05-22,Ola Cabs,715,debit
2023-10-13,Pet Vaccination,7601,debit
2023-02-16,Medical Pharmacy,177,debit
2022-03-09,Flipkart Sale,7511,debit
2024-03-23,Mobile Accessories,1898,debit
2022-04-13,Rent Payment,2272,debit
2022-12-01,YouTube Premium,8451,debit
2023-05-01,Flipkart Sale,1250,debit
2023-11-27,IRCTC Train Booking,9415,debit
2023-07-25,Loan EMI,7259,debit
2024-01-31,Medical Pharmacy,2913,debit
2024-01-12,Pet Grooming,8210,debit
2023-09-16,Exam Fee,5034,debit
2022-03-20,Starbucks Coffee,1035,debit
2023-01-27,Loan EMI,2849,debit
2023-07-22,Amazon Shopping,7136,debit
2022-12-12,Mutual Fund SIP,806,debit
2022-02-10,Amazon Prime,6949,debit
2023-01-04,Rent Payment,8547,debit
2022-04-05,Credit Card Bill,9212,debit
2023-12-08,Insurance Premium,288,debit
2023-10-31,Cinema Ticket,620,debit
2022-08-21,Hospital Bill,9743,debit
2022-09-02,Salary,57846,credit
2022-11-08,Starbucks Coffee,4728,debit
2023-12-22,Credit Card Bill,551,debit
2022-10-10,Investment Return,41060,credit
2022-12-18,Restaurant Bill,1084,debit
2022-04-02,Investment Return,9913,credit
2023-04-11,Amazon Prime,6362,debit
2023-01-16,Pet Grooming,7549,debit
2023-10-31,Coworking Space Rent,9222,debit
2023-09-05,Freelance Payment,16039,credit
2022-12-15,Tuition Fee,8421,debit
2022-03-16,Electricity Bill,4160,debit
2024-01-25,Hospital Bill,235,debit
2022-05-19,Tuition Fee,1705,debit
2022-12-29,Pet Vaccination,4037,debit
2023-11-14,Medical Consultation,6696,debit
2022-02-27,Bookstore,671,debit
2023-08-08,Medical Consultation,1645,debit
2023-04-12,Concert Ticket,9895,debit
2023-12-16,Electricity Bill,2144,debit
2022-02-03,YouTube Premium,3248,debit
2023-01-23,Home Cleaning Services,3869,debit
2024-01-24,Medical Consultation,6647,debit
2022-03-10,Clothing Store,360,debit
2023-09-01,Concert Ticket,7906,debit
2022-05-28,Concert Ticket,6481,debit
2023-09-04,Concert Ticket,577,debit
2023-11-25,Concert Ticket,7542,debit
2022-06-08,Exam Fee,8754,debit
2023-07-15,Starbucks Coffee,2472,debit
2022-09-18,Internet Bill,1571,debit
2023-07-27,Amazon Prime,8800,debit
2022-05-20,Bus Pass Recharge,7351,debit
2022-03-20,Internet Bill,5752,debit
2022-06-25,Bookstore,9990,debit
2023-01-29,Mutual Fund SIP,646,debit
2022-01-27,IRCTC Train Booking,5386,debit
2022-02-02,Bookstore,7699,debit
2022-01-19,Rent Payment,5127,debit
2022-02-05,Electricity Bill,6870,debit
2022-12-17,Mobile Accessories,8370,debit
2022-04-28,Amusement Park,5871,debit
2022-08-22,Concert Ticket,1564,debit
2022-10-27,Tuition Fee,5573,debit
2023-02-15,Starbucks Coffee,3147,debit
2022-10-01,Amazon Shopping,7754,debit
2022-04-29,Medical Pharmacy,1596,debit
2024-01-24,Cinema Ticket,6165,debit
2022-01-20,Coworking Space Rent,4240,debit
2022-10-20,Credit Card Bill,6875,debit
2023-11-05,Internet Bill,5290,debit
2022-11-28,Uber Ride,9532,debit
2023-10-06,Tuition Fee,3763,debit
2022-04-15,Hospital Bill,4989,debit
2023-05-09,Hospital Bill,7531,debit
2022-04-26,Spotify Subscription,7110,debit
2023-08-06,Bus Pass Recharge,5446,debit
2023-05-09,YouTube Premium,9283,debit
2023-10-15,Loan EMI,6685,debit
2022-04-10,YouTube Premium,2308,debit
2022-04-01,Medical Pharmacy,4220,debit
2023-05-30,Rent Payment,9111,debit
2023-04-22,Internet Bill,8112,debit
2022-01-18,Credit Card Bill,6959,debit
2022-03-01,Cinema Ticket,2020,debit
2023-05-29,Credit Card Bill,1548,debit
2023-07-08,Mutual Fund SIP,9683,debit
2023-01-02,Medical Consultation,8619,debit
2022-09-14,Medical Pharmacy,9005,debit
2022-04-25,Loan EMI,4841,debit
2022-11-19,Online Course,2422,debit
2023-01-04,Water Bill,5118,debit
2023-07-26,Spotify Subscription,5173,debit
2022-05-29,Domino's Pizza,4127,debit
2022-01-25,Pet Grooming,2524,debit
2022-12-30,Online Course,9850,debit
2022-04-24,Rent Payment,1743,debit
2022-09-19,Medical Consultation,5788,debit
2023-12-19,Swiggy Food,8141,debit
2022-09-21,Online Course,7134,debit
2022-12-17,Credit Card Bill,4707,debit
2022-08-29,Restaurant Bill,4145,debit
2023-03-18,Cinema Ticket,7148,debit
2022-03-16,Water Bill,8349,debit
2022-11-01,Exam Fee,1870,debit
2022-10-20,Freelance Payment,68344,credit
2024-03-15,Rent Payment,3339,debit
2022-07-15,IRCTC Train Booking,7854,debit
2022-02-20,Bonus,47745,credit
2023-01-30,Mutual Fund SIP,7276,debit
2022-12-08,Pet Vaccination,1312,debit
2022-07-30,Electricity Bill,8139,debit
2022-11-07,Fuel Station,7255,debit
2023-01-15,Hospital Bill,1472,debit
2024-03-24,Hospital Bill,2415,debit
2024-03-19,Internet Bill,9254,debit
2023-08-31,Salary,31596,credit
2023-04-25,Fuel Station,7303,debit
2022-12-11,Ola Cabs,9937,debit
2022-04-22,Bus Pass Recharge,7472,debit
2022-09-30,Cafe Coffee Day,793,debit
2022-01-04,Starbucks Coffee,7305,debit
2023-12-02,Exam Fee,4173,debit
2023-04-30,Cinema Ticket,6694,debit
2023-06-28,Amazon Shopping,6482,debit
2022-07-16,Exam Fee,5612,debit
2023-12-08,Netflix Subscription,7916,debit
2022-08-08,Uber Ride,5097,debit
2023-01-23,Coworking Space Rent,1722,debit
2023-12-23,Amazon Prime,4384,debit
2023-07-29,Home Cleaning Services,7956,debit
2023-06-15,Amusement Park,7420,debit
2022-12-18,Pet Grooming,587,debit
2022-02-15,Gift Purchase,2586,debit
2022-06-12,Cafe Coffee Day,3346,debit
2022-12-27,Insurance Premium,8603,debit
2023-03-27,Pet Grooming,9968,debit
2022-01-05,Freelance Payment,48859,credit
2022-08-06,Coworking Space Rent,1575,debit
2022-12-25,Spotify Subscription,6747,debit
2024-01-15,Spotify Subscription,2992,debit
2023-02-18,Rent Payment,3681,debit
2022-01-24,Amazon Prime,5295,debit
2022-01-09,Hospital Bill,8271,debit
2022-12-21,Concert Ticket,5577,debit
2024-03-22,Medical Consultation,6664,debit
2022-03-27,Amazon Prime,5149,debit
2022-06-19,Domino's Pizza,7548,debit
2023-08-02,Netflix Subscription,4436,debit
2022-08-17,Internet Bill,2367,debit
2023-12-18,Gift Purchase,2199,debit
2024-03-06,Medical Consultation,9049,debit
2024-02-09,Online Course,2154,debit
2024-03-16,Doctor Visit,6178,debit
2023-07-18,Netflix Subscription,8590,debit
2024-01-02,Insurance Premium,6958,debit
2024-02-25,Insurance Premium,7071,debit
2023-04-26,Spotify Subscription,1838,debit
2023-10-03,Netflix Subscription,6631,debit
2022-05-11,Cinema Ticket,5866,debit
2023-12-12,Home Cleaning Services,6252,debit
2023-08-17,Cinema Ticket,5802,debit
2022-10-07,Starbucks Coffee,2639,debit
2022-01-20,Cinema Ticket,8779,debit
2024-03-11,Salary,66015,credit
2022-08-23,Amusement Park,9028,debit
2023-04-26,Exam Fee,4888,debit
2023-11-24,Hospital Bill,1392,debit
2024-03-04,Salary,57869,credit
2023-09-10,Medical Consultation,385,debit
2023-04-20,Phone Recharge,7736,debit
2023-07-01,Doctor Visit,6782,debit
2023-02-23,Credit Card Bill,3009,debit
2024-01-21,Doctor Visit,4537,debit
2023-12-02,Salary,52075,credit
2023-11-08,Concert Ticket,5103,debit
2022-04-02,Pet Grooming,9876,debit
2022-11-13,Electricity Bill,4134,debit
2022-05-06,Exam Fee,257,debit
2023-04-27,Mobile Accessories,6635,debit
2024-01-05,Fuel Station,735,debit
2023-10-29,Salary,55710,credit
2023-05-23,Gift Purchase,2894,debit
2022-06-22,Spotify Subscription,7471,debit
2023-12-10,Mobile Accessories,9192,debit
2022-06-30,Spotify Subscription,7702,debit
2023-09-12,Online Course,5117,debit
2023-04-29,Pet Vaccination,5357,debit
2022-10-30,Bonus,65599,credit
2022-08-31,Amusement Park,2724,debit
2024-02-03,Cinema Ticket,3288,debit
2023-12-20,Concert Ticket,3000,debit
2023-03-03,YouTube Premium,8677,debit
2024-02-12,Medical Consultation,9931,debit
2024-03-18,Netflix Subscription,4117,debit
2023-01-05,Medical Pharmacy,9991,debit
2022-12-15,Cinema Ticket,8719,debit
2022-12-25,Hospital Bill,9865,debit
2022-06-30,Phone Recharge,711,debit
2023-03-03,Investment Return,41894,credit
2023-08-01,Mobile Accessories,4524,debit
2022-06-01,Uber Ride,1737,debit
2022-11-14,Investment Return,34236,credit
2023-07-30,Netflix Subscription,4727,debit
2022-12-02,Medical Consultation,3601,debit
2022-01-12,Bus Pass Recharge,335,debit
2022-12-23,Fuel Station,9772,debit
2022-10-12,Concert Ticket,673,debit
2023-08-23,Investment Return,46896,credit
2022-07-14,Exam Fee,7041,debit
2023-07-17,Cinema Ticket,9927,debit
2023-08-20,Electricity Bill,5508,debit
2023-06-13,Bookstore,2820,debit
2022-11-19,Cafe Coffee Day,7064,debit
2023-05-06,Home Cleaning Services,9789,debit
2023-08-11,Clothing Store,5172,debit
2023-02-15,Concert Ticket,1908,debit
2023-05-11,Amazon Prime,5612,debit
2023-03-24,Cafe Coffee Day,5512,debit
2022-10-09,Insurance Premium,6632,debit
2022-02-02,Swiggy Food,7594,debit
2023-05-18,Starbucks Coffee,2285,debit
2022-09-30,Online Course,2658,debit
2022-06-30,Amazon Prime,196,debit
2022-09-01,Coworking Space Rent,826,debit
2023-12-23,Concert Ticket,4743,debit
2022-06-07,Rent Payment,4623,debit
2022-09-05,Amusement Park,9181,debit
2023-09-06,Pet Grooming,5210,debit
2024-03-06,Starbucks Coffee,7484,debit
2022-05-28,Coworking Space Rent,8815,debit
2023-06-05,Online Course,8780,debit
2022-11-04,IRCTC Train Booking,7771,debit
2023-09-07,Freelance Payment,12353,credit
2022-11-04,Insurance Premium,5525,debit
2023-12-20,Online Course,881,debit
2023-09-28,Restaurant Bill,4947,debit
2022-04-07,Spotify Subscription,1964,debit
2023-05-26,Water Bill,5611,debit
2023-11-18,Mobile Accessories,4162,debit
2024-01-06,Online Course,6740,debit
2022-01-01,Ola Cabs,5380,debit
2024-01-15,Bookstore,6384,debit
2022-10-29,Investment Return,50668,credit
2024-02-07,Investment Return,54826,credit
2023-08-09,Pet Grooming,3102,debit
2022-07-23,Domino's Pizza,5601,debit
2022-03-02,Gift Purchase,345,debit
2023-05-11,Online Course,1106,debit
2024-02-10,Coworking Space Rent,7240,debit
2022-05-05,Swiggy Food,5133,debit
2023-07-16,Salary,18189,credit
2023-06-01,Flipkart Sale,9483,debit
2022-02-04,Mobile Accessories,3263,debit
2023-11-25,YouTube Premium,5718,debit
2022-06-19,Coworking Space Rent,8972,debit
2023-02-19,Bus Pass Recharge,7015,debit
2022-12-15,Credit Card Bill,3962,debit
2023-12-01,Insurance Premium,1177,debit
2023-03-23,Rent Payment,7706,debit
2022-10-20,Insurance Premium,3050,debit
2023-02-03,YouTube Premium,9971,debit
2022-10-14,Cinema Ticket,9014,debit
2022-02-17,Tuition Fee,8063,debit
2023-08-03,Bookstore,4288,debit
2022-08-21,Insurance Premium,1131,debit
2022-10-25,Mobile Accessories,9150,debit
2022-12-01,Bookstore,846,debit
2022-12-23,Swiggy Food,2385,debit
2024-02-03,Exam Fee,9357,debit
2023-07-09,Zomato Order,6269,debit
2022-12-10,Insurance Premium,8358,debit
2022-09-28,Amazon Prime,8191,debit
2022-06-17,Electricity Bill,1563,debit
2022-02-11,Loan EMI,7181,debit
2023-06-17,ATM Withdrawal,6797,debit
2023-06-10,Credit Card Bill,4448,debit
2023-09-18,Electricity Bill,9790,debit
2023-10-23,Credit Card Bill,1101,debit
2024-01-01,Loan EMI,8996,debit
2022-12-18,Swiggy Food,745,debit
2024-02-13,Gift Purchase,5073,debit
2023-06-08,YouTube Premium,8828,debit
2022-05-03,Cinema Ticket,8597,debit
2023-03-08,Hospital Bill,9043,debit
2022-11-21,Bonus,63079,credit
2022-11-27,IRCTC Train Booking,5284,debit
2022-10-03,Domino's Pizza,8184,debit
2022-07-27,Exam Fee,4463,debit
2022-03-17,Medical Pharmacy,4220,debit
2023-02-28,Rent Payment,1760,debit
2022-04-12,Gift Purchase,187,debit
2023-10-14,Coworking Space Rent,1151,debit
2022-05-03,Bonus,44495,credit
2022-06-01,Cinema Ticket,538,debit
2023-12-07,Spotify Subscription,9128,debit
2023-05-20,Restaurant Bill,2298,debit
2023-04-08,Exam Fee,2407,debit
2023-03-13,Water Bill,6479,debit
2022-06-28,Insurance Premium,1066,debit
2022-05-15,Mobile Accessories,7380,debit
2022-08-03,Tuition Fee,5261,debit
2022-04-29,Online Course,7845,debit
2024-03-23,Uber Ride,9007,debit
2023-02-28,Water Bill,4346,debit
2022-10-19,Internet Bill,891,debit
2023-06-18,Ola Cabs,8959,debit
2023-05-16,Amazon Shopping,4926,debit
2022-12-22,Mobile Accessories,3078,debit
2022-10-29,Loan EMI,9918,debit
2023-03-23,Zomato Order,340,debit
2022-12-02,Gift Purchase,7443,debit
2023-11-22,Tuition Fee,8781,debit
2022-08-20,Cafe Coffee Day,4881,debit
2023-03-11,Amusement Park,8348,debit
2023-01-07,Investment Return,18545,credit
2023-08-12,Fuel Station,7238,debit
2023-09-25,Uber Ride,5470,debit
2022-05-11,Credit Card Bill,548,debit
2023-04-30,Coworking Space Rent,3227,debit
2023-03-15,Pet Vaccination,8097,debit
2024-03-31,Home Cleaning Services,7384,debit
2023-02-18,Domino's Pizza,2614,debit
2024-03-17,Fuel Station,1729,debit
2023-09-18,Clothing Store,7554,debit
2022-08-09,Uber Ride,8440,debit
2023-08-14,Concert Ticket,1207,debit
2023-12-06,Amusement Park,284,debit
2022-09-12,Spotify Subscription,2002,debit
2023-01-17,Ola Cabs,2934,debit
2023-02-18,Flipkart Sale,5622,debit
2023-07-30,Coworking Space Rent,2330,debit
2024-01-23,Hospital Bill,4320,debit
2022-04-27,Freelance Payment,32790,credit
2023-11-20,Home Cleaning Services,3476,debit
2022-01-31,Water Bill,8830,debit
2024-03-01,Pet Grooming,2735,debit
2023-02-06,Concert Ticket,9219,debit
2022-09-27,Online Course,5387,debit
2023-09-08,ATM Withdrawal,7692,debit
2023-11-04,Freelance Payment,63752,credit
2024-03-29,Rent Payment,696,debit
2024-03-03,Phone Recharge,9714,debit
2022-03-20,Electricity Bill,3301,debit
2022-04-13,Ola Cabs,4841,debit
2022-08-05,Doctor Visit,6298,debit
2022-07-03,Mutual Fund SIP,4372,debit
2023-08-01,Ola Cabs,4231,debit
2023-10-30,Insurance Premium,6721,debit
2023-08-29,Phone Recharge,6445,debit
2022-09-02,Coworking Space Rent,8617,debit
2023-09-09,Uber Ride,8465,debit
2023-07-01,Online Course,2088,debit
2023-04-02,Pet Grooming,2564,debit
2023-08-29,Investment Return,58510,credit
2023-03-30,Pet Grooming,4021,debit
2024-01-26,Amusement Park,1267,debit
2024-02-13,Hospital Bill,5655,debit
2023-01-31,Domino's Pizza,4713,debit
2023-08-09,Tuition Fee,9851,debit
2024-02-05,Exam Fee,2727,debit
2022-10-18,Insurance Premium,9852,debit
2022-06-11,Amusement Park,217,debit
2022-01-03,Cinema Ticket,6241,debit
2024-01-17,Restaurant Bill,9564,debit
2023-09-29,Freelance Payment,62960,credit
2022-12-14,Water Bill,8463,debit
2024-01-17,Uber Ride,3446,debit
2023-05-11,Electricity Bill,4245,debit
2022-02-28,Starbucks Coffee,3210,debit
2023-01-20,Amazon Prime,6412,debit
2023-03-19,Online Course,2584,debit
2023-06-04,Amusement Park,3016,debit
2022-01-11,Medical Pharmacy,9009,debit
2022-07-21,Exam Fee,7397,debit
2022-08-19,Home Cleaning Services,210,debit
2022-12-17,Home Cleaning Services,5026,debit
2022-09-13,Mutual Fund SIP,9429,debit
2024-01-09,Bookstore,3224,debit
2022-09-30,Medical Pharmacy,496,debit
2023-10-01,Rent Payment,8731,debit
2024-01-15,Swiggy Food,9405,debit
2023-03-31,Medical Consultation,5729,debit
2023-07-25,Bookstore,6819,debit
2022-08-17,YouTube Premium,2489,debit
2023-01-22,Exam Fee,2316,debit
2022-11-22,Insurance Premium,2575,debit
2022-07-10,Electricity Bill,5097,debit
2022-09-12,Amazon Prime,4702,debit
2024-01-14,Mobile Accessories,5095,debit
2022-10-01,YouTube Premium,4028,debit
2022-01-01,Online Course,7035,debit
2022-11-16,Swiggy Food,6949,debit
2022-09-12,Spotify Subscription,8156,debit
2023-01-02,Starbucks Coffee,4316,debit
2023-04-07,Water Bill,9403,debit
2023-05-03,Flipkart Sale,3412,debit
2022-11-15,Amazon Prime,851,debit
2024-03-07,Rent Payment,584,debit
2023-09-18,Zomato Order,5567,debit
2022-09-22,IRCTC Train Booking,7802,debit
2023-07-31,Coworking Space Rent,5626,debit
2022-01-31,Coworking Space Rent,9808,debit
2024-02-28,Exam Fee,6048,debit
2022-04-27,Internet Bill,2630,debit
2022-05-23,Concert Ticket,1609,debit
2023-06-19,Hospital Bill,7754,debit
2023-06-18,Internet Bill,760,debit
2022-02-03,Coworking Space Rent,549,debit
2022-06-08,Coworking Space Rent,9013,debit
2022-08-16,Clothing Store,270,debit
2023-10-25,Online Course,6417,debit
2023-03-05,Restaurant Bill,4298,debit
2023-03-20,Freelance Payment,11172,credit
2023-06-02,Exam Fee,1273,debit
2022-05-07,Pet Grooming,4102,debit
2022-11-19,Pet Vaccination,8428,debit
2024-02-17,Electricity Bill,9047,debit
2023-10-09,Clothing Store,1897,debit
2024-01-31,Swiggy Food,4400,debit
2024-03-31,Online Course,931,debit
2022-07-20,Mutual Fund SIP,1876,debit
2022-01-24,Internet Bill,9949,debit
2024-01-22,Medical Pharmacy,1665,debit
2022-11-29,Medical Consultation,3320,debit
2022-03-16,Insurance Premium,9167,debit
2023-03-03,Pet Grooming,6280,debit
2023-06-01,Gift Purchase,6873,debit
2023-04-08,Swiggy Food,223,debit
2022-08-13,Rent Payment,3924,debit
2022-12-17,Fuel Station,8261,debit
2022-04-28,Bus Pass Recharge,8756,debit
2022-11-14,Online Course,3240,debit
2022-04-21,Bus Pass Recharge,5342,debit
2022-12-07,Ola Cabs,1957,debit
2023-09-07,Netflix Subscription,4934,debit
2023-09-22,Cinema Ticket,1717,debit
2023-06-19,Electricity Bill,3074,debit
2023-02-13,Electricity Bill,2102,debit
2022-12-27,Online Course,4764,debit
2024-03-18,Zomato Order,1125,debit
2022-01-14,Tuition Fee,1927,debit
2023-06-13,Salary,9847,credit
2022-08-25,Netflix Subscription,9091,debit
2023-07-06,Amazon Prime,6128,debit
2023-06-20,Mutual Fund SIP,3592,debit
2023-07-01,Credit Card Bill,2906,debit
2023-04-18,Electricity Bill,7829,debit
2023-11-21,YouTube Premium,4673,debit
2022-10-22,IRCTC Train Booking,2559,debit
2023-11-06,Tuition Fee,8159,debit
2022-04-13,Credit Card Bill,5014,debit
2023-01-08,ATM Withdrawal,1793,debit
2022-10-03,Gift Purchase,9291,debit
2023-10-10,Spotify Subscription,5336,debit
2023-09-20,Bonus,20824,credit
2022-06-15,ATM Withdrawal,1486,debit
2022-04-19,Doctor Visit,7507,debit
2022-08-25,Water Bill,3608,debit
2023-07-16,Cafe Coffee Day,660,debit
2022-02-07,Electricity Bill,9558,debit
2023-02-12,Flipkart Sale,1343,debit
2022-09-11,Bookstore,9946,debit
2023-09-20,Hospital Bill,4435,debit
2022-03-30,Mobile Accessories,4635,debit
2022-05-10,Clothing Store,8319,debit
2023-12-20,Electricity Bill,5827,debit
2023-05-01,Bonus,50015,credit
2024-03-16,ATM Withdrawal,3590,debit
2023-12-12,Rent Payment,8561,debit
2022-05-16,Cafe Coffee Day,6446,debit
2022-07-03,Tuition Fee,4517,debit
2022-01-13,Online Course,3202,debit
2022-05-24,Rent Payment,9026,debit
2022-02-22,Credit Card Bill,1864,debit
2022-07-06,Clothing Store,7025,debit
2024-03-06,Doctor Visit,7945,debit
2023-12-28,Ola Cabs,1083,debit
2023-06-30,Amusement Park,3356,debit
2022-01-22,Pet Grooming,8723,debit
2022-12-12,Credit Card Bill,1475,debit
2022-09-22,Tuition Fee,2970,debit
2023-07-04,Bookstore,9690,debit
2023-05-10,Uber Ride,1867,debit
2023-05-21,Rent Payment,4040,debit
2022-02-01,Insurance Premium,1088,debit
2022-06-25,Insurance Premium,7464,debit
2023-03-07,Bonus,66744,credit
2023-02-15,Clothing Store,9923,debit
2022-12-24,Amazon Shopping,5519,debit
2022-11-05,Cinema Ticket,4309,debit
2023-03-14,Insurance Premium,9764,debit
2023-04-28,Hospital Bill,9501,debit
2022-08-16,ATM Withdrawal,2529,debit
2022-03-02,Domino's Pizza,8177,debit
2023-02-13,Amusement Park,7746,debit
2022-10-21,Rent Payment,4273,debit
2022-10-14,Restaurant Bill,2974,debit
2023-05-21,Rent Payment,7474,debit
2023-09-25,Loan EMI,1067,debit
2022-12-21,Ola Cabs,9500,debit
2024-02-29,Bookstore,6920,debit
2023-07-05,Coworking Space Rent,5771,debit
2023-08-08,Hospital Bill,5534,debit
2024-01-31,Investment Return,28500,credit
2023-04-19,Pet Grooming,6152,debit
2022-04-25,Gift Purchase,3601,debit
2024-01-05,Doctor Visit,7991,debit
2023-10-21,Flipkart Sale,1881,debit
2022-02-03,Online Course,3671,debit
2023-08-02,Starbucks Coffee,9772,debit
2022-09-22,Internet Bill,6998,debit
2024-02-28,Fuel Station,8746,debit
2023-07-14,Phone Recharge,3837,debit
2022-10-29,Mutual Fund SIP,3422,debit
2022-08-31,Ola Cabs,172,debit
2024-01-29,Amazon Shopping,2667,debit
2024-02-10,Amazon Shopping,1578,debit
2024-01-24,Hospital Bill,8708,debit
2023-06-05,Home Cleaning Services,6323,debit
2022-05-25,Insurance Premium,6218,debit
2023-07-29,Medical Pharmacy,3456,debit
2024-03-26,Water Bill,1116,debit
2023-11-18,Rent Payment,2594,debit
2024-03-20,IRCTC Train Booking,1721,debit
2022-02-25,Bonus,51509,credit
2023-06-23,Freelance Payment,12282,credit
2022-02-15,Cinema Ticket,306,debit
2023-02-11,Pet Vaccination,7524,debit
2022-12-31,Concert Ticket,9147,debit
2023-09-28,Credit Card Bill,7463,debit
2022-02-08,Cinema Ticket,9407,debit
2023-02-12,Bookstore,7478,debit
2023-12-13,Medical Pharmacy,227,debit
2022-01-17,Pet Vaccination,801,debit
2023-07-01,Online Course,151,debit
2022-04-24,Pet Vaccination,3284,debit
2023-06-06,Ola Cabs,4561,debit
2022-12-11,Investment Return,31191,credit
2022-05-09,Medical Pharmacy,6088,debit
2023-02-14,Medical Consultation,1279,debit
2023-08-30,Domino's Pizza,7114,debit
2022-11-20,Domino's Pizza,5852,debit
2023-03-31,Pet Vaccination,8925,debit
2022-02-07,Tuition Fee,8303,debit
2022-08-19,Cinema Ticket,5198,debit
2022-03-28,Concert Ticket,905,debit
2022-07-20,Bookstore,4769,debit
2023-08-25,Ola Cabs,8915,debit
2023-05-08,Clothing Store,4708,debit
2023-04-18,Doctor Visit,4636,debit
2023-02-27,Exam Fee,2227,debit
2022-11-24,Bonus,14847,credit
2022-04-14,Netflix Subscription,5440,debit
2023-01-04,Uber Ride,5062,debit
2022-09-22,Clothing Store,9643,debit
2022-07-03,YouTube Premium,3138,debit
2022-10-13,Investment Return,59920,credit
2023-11-20,Bookstore,808,debit
2024-02-10,Cinema Ticket,2185,debit
2023-03-03,Netflix Subscription,1740,debit
2022-05-23,Concert Ticket,5379,debit
2023-11-04,Water Bill,4813,debit
2023-02-01,Mobile Accessories,566,debit
